4 0 4	CHH..YC....YCFAADE.F..DE..RITTBBRIPP C98 
3 1 2	CHH.DYC...DYCFAA.E.F...E..RITTBBRIPP D98 
4 1 3	CHH..YC...DYCFAADE.F...E..RITTBBRIPP D99 
4 2 2	C.HHDYC...DYCFAA.E.F...E..RITTBBRIPP H99 D98 
4 2 2	CHH.DYCF..DYCFAA.E.....E..RITTBBRIPP F99 D98 
4 2 2	CHH.DYC...DYCF.AAE.F...E..RITTBBRIPP A99 D98 
4 2 2	CHH.DYC...DYC.AA.E.F...E.FRITTBBRIPP F99 D98 
4 2 2	.HH.DYC...DYCFAA.ECF...E..RITTBBRIPP C99 D98 
4 2 2	.HH.DY....DYCFAA.ECF...EC.RITTBBRIPP C98 D98 
4 2 2	CHH.DYC...DYCFAA.E.FR..E..RITTBB.IPP D98 R99 
4 2 2	CHH.DYC...DYCFAA.E.F.I.E..RITTBBR.PP D98 I99 
5 1 4	.HH..Y.....YCFAADECF..DEC.RITTBBRIPP C98 
5 2 3	CHH..YC...DYCFAADE.F.I.E..RITTBBR.PP D99 I99 
5 3 2	.HH.DYCF..DYCFAA.EC....E..RITTBBRIPP C99 D98 F99 
5 3 2	CHH.DYCF..DYCFAA.E...I.E..RITTBBR.PP F99 D98 I99 
5 3 2	CHH.DYC...DYCFAA.E.FR..E..RITT.BBIPP D98 R99 B99 
5 3 2	CHH.DYC...DYCFAA.E.F.I.E..RITTBBRPP. D98 I99 P99 
5 3 2	C.HHDYC...DYCFAA.E.FR..E..RITTBB.IPP H99 D98 R99 
5 1 4	C.HH.YC....YCFAADE.F..DE..RITTBBRIPP H99 
5 3 2	C.HHDYC...DYCF.AAE.F...E..RITTBBRIPP H99 A99 D98 
5 3 2	CFHHDYCF..DYC.AA.E.....E..RITTBBRIPP H99 F98 D98 
5 1 4	.HH..YC....YCFAADECF..DE..RITTBBRIPP C99 
5 3 2	C.HHDYCF..DYCFAA.E.....E..RITTBBRIPP H99 F99 D98 
5 3 2	C.HHDYC...DYCFAA.E.F.I.E..RITTBBR.PP H99 D98 I99 
5 3 2	C.HHDYC...DYC.AA.E.F...E.FRITTBBRIPP H99 F99 D98 
5 1 4	CHH..YCF...YCFAADE....DE..RITTBBRIPP F99 
5 3 2	..HHDY....DYCFAA.ECF...EC.RITTBBRIPP C98 H99 D98 
5 3 2	..HHDYC...DYCFAA.ECF...E..RITTBBRIPP C99 H99 D98 
5 3 2	CHH.DYC...DYCFAA.E.FRI.E..RITTBB..PP D98 R99 I99 
5 3 2	.HH.DY....DYCFAA.ECFR..EC.RITTBB.IPP C98 D98 R99 
5 1 4	CHH..YC....YC.AADE.F..DE.FRITTBBRIPP F99 
5 2 3	CHH..YC...DYCFAADE.FR..E..RITTBB.IPP D99 R99 
5 3 2	CHH.DYC...DYCF.AAE.F.I.E..RITTBBR.PP A99 D98 I99 
5 3 2	HH..DY....DYCFAA.ECF...EC.RITTBBRIPP H99 D98 C98 
5 3 2	.HH.DY....DYCFAA.ECF.I.EC.RITTBBR.PP C98 D98 I99 
5 3 2	.HH.DYC...DYCFAA.ECFR..E..RITTBB.IPP C99 D98 R99 
5 2 3	CHH..YCF..DYCFAADE.....E..RITTBBRIPP F99 D99 
5 3 2	HH..DYC...DYCFAA.ECF...E..RITTBBRIPP H99 D98 C99 
5 3 2	CHH.DYC...DYC.AA.E.FR..E.FRITTBB.IPP F99 D98 R99 
5 1 4	CHH..YC....YCFAADE.F.IDE..RITTBBR.PP I99 
5 2 3	CHH..YC...DYC.AADE.F...E.FRITTBBRIPP F99 D99 
5 3 2	CHH.DYC...DYCAA..E.F...E.FRITTBBRIPP F99 A99 D98 
5 3 2	.HH.DY....DYC.AA.ECF...ECFRITTBBRIPP C98 D98 F99 
5 3 2	CHH.DYC.R.DYCFRAAE.F...E...ITTBB.IPP A99 D98 R97 
5 3 2	.HH.DYC...DYC.AA.ECF...E.FRITTBBRIPP C99 D98 F99 
5 1 4	CHH..YC....YCFAADE.FR.DE..RITTBB.IPP R99 
5 2 3	C.HH.YC...DYCFAADE.F...E..RITTBBRIPP H99 D99 
5 3 2	CHH.DYC...DYCFRAAE.FR..E...ITTBB.IPP A99 D98 R98 
5 3 2	.HH.DYC...DYCFAA.ECF.I.E..RITTBBR.PP C99 D98 I99 
5 3 2	CHH.DYC...DYCF.AAE.FR..E..RITTBB.IPP A99 D98 R99 
5 2 3	.HH..Y....DYCFAADECF...EC.RITTBBRIPP C98 D99 
5 3 2	CHH.DYC...DYC..AAE.F...E.FRITTBBRIPP F99 A99 D98 
5 3 2	.HH.DY....DYCF.AAECF...EC.RITTBBRIPP C98 D98 A99 
5 2 3	.HH..YC...DYCFAADECF...E..RITTBBRIPP C99 D99 
5 3 2	.HH.DYC...DYCF.AAECF...E..RITTBBRIPP C99 D98 A99 
5 3 2	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBR.PP F99 D98 I99 
5 3 2	CHH.DYCF..DYCFAA.E..R..E..RITTBB.IPP F99 D98 R99 
5 1 4	C..HHYC....YCFAADE.F..DE..RITTBBRIPP H98 
5 3 2	CHH.DYCF..DYCF.AAE.....E..RITTBBRIPP F99 A99 D98 
5 3 2	.HH.DY.F..DYCFAA.EC....EC.RITTBBRIPP C98 D98 F99 
6 2 4	.HH..Y.....YCFAADECF.IDEC.RITTBBR.PP C98 I99 
6 4 2	HH..DYCF..DYCFAA.EC....E..RITTBBRIPP H99 D98 C99 F99 
6 4 2	.HH.DYCF..DYCFAA.EC..I.E..RITTBBR.PP C99 D98 F99 I99 
6 4 2	C.HHDYC...DYCFAA.E.FRI.E..RITTBB..PP H99 D98 R99 I99 
6 4 2	CHH.DYC...DYC.AA.E.FRI.E.FRITTBB..PP F99 D98 R99 I99 
6 4 2	CHH.DYC...DYCF.AAE.FRI.E..RITTBB..PP A99 D98 R99 I99 
6 4 2	CHH.DYC.R.DYC.RAAE.F...E.F.ITTBB.IPP F99 A99 D98 R97 
6 4 2	.HH.DY..R.DYCFRAAECF...EC..ITTBB.IPP C98 D98 R97 A99 
6 3 3	CHH..YC...DYCFAADE.FRI.E..RITTBB..PP D99 R99 I99 
6 4 2	.HH.DY....DYCFAA.ECFRI.EC.RITTBB..PP C98 D98 R99 I99 
6 3 3	CHH..YCF..DYCFAADE...I.E..RITTBBR.PP F99 D99 I99 
6 3 3	CHH..YC...DYCFAADE.F.I.E..RITTBBRPP. D99 I99 P99 
6 4 2	.HH.DYC...DYCFAA.ECFRI.E..RITTBB..PP C99 D98 R99 I99 
6 2 4	C..HHYCF...YCFAADE....DE..RITTBBRIPP H98 F99 
6 3 3	CHH..YC...DYC.AADE.F.I.E.FRITTBBR.PP F99 D99 I99 
6 4 2	..HHDY....DYC.AA.ECF...ECFRITTBBRIPP C98 H99 D98 F99 
6 3 3	C.HH.YC...DYCFAADE.F.I.E..RITTBBR.PP H99 D99 I99 
6 4 2	CHH.DYCF..DYCFAA.E...I.E..RITTBBRPP. F99 D98 I99 P99 
6 4 2	..HHDY....DYCFAA.ECF.I.EC.RITTBBR.PP C98 H99 D98 I99 
6 4 2	..HHDYC...DYC.AA.ECF...E.FRITTBBRIPP C99 H99 D98 F99 
6 4 2	CHH.DYC...DYCFAA.E.FRI.E..RITTBB.PP. D98 R99 I99 P99 
6 4 2	..HHDYC...DYCFAA.ECF.I.E..RITTBBR.PP C99 H99 D98 I99 
6 4 2	..HHDY.F..DYCFAA.EC....EC.RITTBBRIPP C98 H99 D98 F99 
6 3 3	.HH..Y....DYCFAADECF.I.EC.RITTBBR.PP C98 D99 I99 
6 4 2	CHH.DYC...DYCFAA.E.FRI.E..RITT.BB.PP D98 R99 I99 B99 
6 2 4	.HH..YC....YCFAADECFR.DE..RITTBB.IPP C99 R99 
6 2 4	.HH..YC....YC.AADECF..DE.FRITTBBRIPP C99 F99 
6 3 3	.HH..YC...DYCFAADECF.I.E..RITTBBR.PP C99 D99 I99 
6 2 4	...HHYC....YCFAADECF..DE..RITTBBRIPP C99 H98 
6 2 4	HH...YC....YCFAADECF..DE..RITTBBRIPP H99 C99 
6 2 4	.HH..Y.....YCFAADECFR.DEC.RITTBB.IPP C98 R99 
6 2 4	C.HH.YC....YCFAADE.F.IDE..RITTBBR.PP H99 I99 
6 4 2	CFHHDYCF..DYCAA..E.....E..RITTBBRIPP H99 F98 A99 D98 
6 4 2	CFHHDYCF..DYC.AA.E...I.E..RITTBBR.PP H99 F98 D98 I99 
6 2 4	.HH..Y.F...YCFAADEC...DEC.RITTBBRIPP C98 F99 
6 4 2	.FHHDY.F..DYC.AA.EC....EC.RITTBBRIPP C98 F98 H99 D98 
6 4 2	.FHHDYCF..DYC.AA.EC....E..RITTBBRIPP C99 F98 H99 D98 
6 2 4	.HH..Y.....YC.AADECF..DECFRITTBBRIPP C98 F99 
6 4 2	C.HHDYC.R.DYCFRAAE.F...E...ITTBB.IPP H99 A99 D98 R97 
6 4 2	C.HHDYC...DYCF.AAE.F.I.E..RITTBBR.PP H99 A99 D98 I99 
6 4 2	C.HHDYC...DYCFRAAE.FR..E...ITTBB.IPP H99 A99 D98 R98 
6 2 4	...HHY.....YCFAADECF..DEC.RITTBBRIPP C98 H98 
6 4 2	CFHHDYCF..DYC..AAE.....E..RITTBBRIPP H99 F98 A99 D98 
6 4 2	C.HHDYCF..DYCF.AAE.....E..RITTBBRIPP H99 F99 A99 D98 
6 2 4	..HH.Y.....YCFAADECF..DEC.RITTBBRIPP C98 H99 
6 4 2	C.HHDYC...DYC..AAE.F...E.FRITTBBRIPP H99 F99 A99 D98 
6 2 4	.HH..YC....YCFAADECF.IDE..RITTBBR.PP C99 I99 
6 2 4	CHH..YCF...YCFAADE..R.DE..RITTBB.IPP F99 R99 
6 4 2	..HHDY....DYCF.AAECF...EC.RITTBBRIPP C98 H99 D98 A99 
6 2 4	HH...Y.....YCFAADECF..DEC.RITTBBRIPP H99 C98 
6 4 2	..HHDYC...DYCF.AAECF...E..RITTBBRIPP C99 H99 D98 A99 
6 2 4	CFHH.YCF...YC.AADE....DE..RITTBBRIPP H99 F98 
6 2 4	C.HH.YCF...YCFAADE....DE..RITTBBRIPP H99 F99 
6 2 4	C.HH.YC....YC.AADE.F..DE.FRITTBBRIPP H99 F99 
6 4 2	C.HHDYC...DYCAA..E.F...E.FRITTBBRIPP H99 F99 A99 D98 
6 2 4	..HH.YC....YCFAADECF..DE..RITTBBRIPP C99 H99 
6 4 2	C.HHDYC...DYC.AA.E.F.I.E.FRITTBBR.PP H99 F99 D98 I99 
6 4 2	C.HHDYC...DYCF.AAE.FR..E..RITTBB.IPP H99 A99 D98 R99 
6 4 2	CFHHDYCF..DYC.AA.E..R..E..RITTBB.IPP H99 F98 D98 R99 
6 4 2	CHH.DYC...DYCFAA.E.FRI.E..RITTBBPP.. D98 R99 I99 P98 
6 2 4	CHH..YC....YC.AADE.F.IDE.FRITTBBR.PP F99 I99 
6 4 2	.HH.DY....DYC.AA.ECF.I.ECFRITTBBR.PP C98 D98 F99 I99 
6 4 2	CHHIDYC..IDYCAA..E.F...E.FR.TTBBR.PP F99 A99 D98 I96 
6 2 4	CF.HHYCF...YC.AADE....DE..RITTBBRIPP H98 F98 
6 4 2	C.HHDYCF..DYCFAA.E..R..E..RITTBB.IPP H99 F99 D98 R99 
6 4 2	C.HHDYC...DYC.AA.E.FR..E.FRITTBB.IPP H99 F99 D98 R99 
6 4 2	.HH.DY....DYCF.AAECFR..EC.RITTBB.IPP C98 D98 A99 R99 
6 4 2	..HHDY....DYCFAA.ECFR..EC.RITTBB.IPP C98 H99 D98 R99 
6 3 3	CHH..YCF..DYCFAADE..R..E..RITTBB.IPP F99 D99 R99 
6 4 2	HH..DY....DYCFAA.ECF.I.EC.RITTBBR.PP H99 D98 C98 I99 
6 4 2	..HHDYC...DYCFAA.ECFR..E..RITTBB.IPP C99 H99 D98 R99 
6 4 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITTBB..PP A99 D98 R97 I99 
6 4 2	CHH.DYC...DYCF.AAE.F.I.E..RITTBBRPP. A99 D98 I99 P99 
6 4 2	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBRPP. F99 D98 I99 P99 
6 4 2	.HH.DYC...DYCF.AAECFR..E..RITTBB.IPP C99 D98 A99 R99 
6 4 2	HH..DYC...DYCFAA.ECF.I.E..RITTBBR.PP H99 D98 C99 I99 
6 4 2	C.HHDYC...DYCFAA.E.F.I.E..RITTBBRPP. H99 D98 I99 P99 
6 4 2	CHH.DYC...DYCFRAAE.FR..E...ITT.BBIPP A99 D98 R98 B99 
6 4 2	.HH.DY....DYCFAA.ECF.I.EC.RITTBBRPP. C98 D98 I99 P99 
6 4 2	.HH.DYC...DYCFAA.ECF.I.E..RITTBBRPP. C99 D98 I99 P99 
6 4 2	CHH.DYC...DYC..AAE.FR..E.FRITTBB.IPP F99 A99 D98 R99 
6 2 4	C..HHYC....YCFAADE.F.IDE..RITTBBR.PP H98 I99 
6 4 2	CHH.DYC...DYCF.AAE.FR..E..RITT.BBIPP A99 D98 R99 B99 
6 2 4	C..HHYC...DYCFAADE.F...E..RITTBBRIPP H98 D99 
6 4 2	CHH.DYCF..DYCFAA.E..R..E..RITT.BBIPP F99 D98 R99 B99 
6 4 2	.HH.DYC.R.DYCFRAAECF...E...ITTBB.IPP C99 D98 R97 A99 
6 4 2	CHH.DYC...DYC.AA.E.FR..E.FRITT.BBIPP F99 D98 R99 B99 
